Embedding,File
tensor([ 0.0083,  0.0038,  0.0138,  ..., -0.0300, -0.0133, -0.0171]),flickr_air_1311388430_4ab0cd1a1f_1
tensor([ 0.0118,  0.0084,  0.0366,  ..., -0.0274, -0.0302, -0.0251]),flickr_air_1425069308_488e5fcf9d_0
tensor([-0.0065,  0.0127, -0.0163,  ..., -0.0057, -0.0173,  0.0033]),flickr_air_1425069308_488e5fcf9d_3
tensor([ 0.0301,  0.0197,  0.0123,  ..., -0.0211, -0.0183, -0.0064]),flickr_air_197107117_4b438b1872_4
tensor([ 0.0362, -0.0284,  0.0200,  ..., -0.0423, -0.0140, -0.0152]),flickr_air_2100816230_ff866fb352_3
tensor([ 0.0244,  0.0117,  0.0072,  ..., -0.0331, -0.0108, -0.0143]),flickr_air_2289068031_fe26990183_4
tensor([ 0.0379, -0.0069, -0.0322,  ..., -0.0332, -0.0351, -0.0102]),flickr_air_2295750198_6d152d7ceb_2
tensor([ 0.0178,  0.0287, -0.0006,  ..., -0.0157, -0.0172,  0.0013]),flickr_air_2306674172_dc07c7f847_1
tensor([ 0.0476,  0.0483,  0.0116,  ..., -0.0291, -0.0098, -0.0130]),flickr_air_2351479551_e8820a1ff3_0
tensor([ 0.0279,  0.0136, -0.0017,  ..., -0.0088, -0.0209, -0.0318]),flickr_air_2351479551_e8820a1ff3_0_1
tensor([-0.0050,  0.0105, -0.0352,  ...,  0.0138, -0.0174,  0.0019]),flickr_air_2351479551_e8820a1ff3_3
tensor([ 0.0130,  0.0371,  0.0137,  ..., -0.0271, -0.0036, -0.0196]),flickr_air_2461616306_3ee7ac1b4b_0
tensor([ 0.0156, -0.0021,  0.0159,  ..., -0.0149, -0.0141, -0.0137]),flickr_air_2594902417_f65d8866a8_2
tensor([ 0.0203,  0.0370, -0.0034,  ..., -0.0405,  0.0057, -0.0103]),flickr_air_2646046871_c3a5dbb971_3
tensor([ 0.0078,  0.0010,  0.0032,  ..., -0.0420,  0.0171, -0.0008]),flickr_air_2646046871_c3a5dbb971_4
tensor([ 0.0279,  0.0375,  0.0102,  ..., -0.0317, -0.0242,  0.0028]),flickr_air_2648165716_02e2e74fd6_2
tensor([ 0.0105,  0.0174,  0.0183,  ..., -0.0367, -0.0161, -0.0206]),flickr_air_2666179615_f05a9d8331_0
tensor([ 0.0439,  0.0284,  0.0128,  ..., -0.0044, -0.0223, -0.0073]),flickr_air_2666179615_f05a9d8331_0_1
tensor([ 0.0267,  0.0141,  0.0014,  ..., -0.0394, -0.0004, -0.0218]),flickr_air_2666179615_f05a9d8331_1
tensor([ 0.0241, -0.0006, -0.0027,  ..., -0.0400,  0.0338, -0.0337]),flickr_air_2666179615_f05a9d8331_1_1
tensor([ 0.0190,  0.0293,  0.0023,  ..., -0.0396, -0.0200, -0.0088]),flickr_air_2682382530_f9f8fd1e89_2
tensor([ 0.0216, -0.0199,  0.0180,  ..., -0.0187, -0.0214, -0.0086]),flickr_air_2682382530_f9f8fd1e89_2_1
tensor([-0.0040,  0.0009,  0.0110,  ..., -0.0367, -0.0126,  0.0052]),flickr_air_2718024196_3ff660416a_0
tensor([ 0.0436,  0.0213,  0.0041,  ..., -0.0176, -0.0033, -0.0304]),flickr_air_2718024196_3ff660416a_2
tensor([ 0.0448,  0.0531,  0.0021,  ..., -0.0411, -0.0079, -0.0114]),flickr_air_2731171552_4a808c7d5a_0
tensor([-0.0317, -0.0066, -0.0026,  ..., -0.0004,  0.0017, -0.0274]),flickr_air_2731171552_4a808c7d5a_4
tensor([ 0.0517,  0.0384,  0.0076,  ..., -0.0243, -0.0107, -0.0104]),flickr_air_2764178773_d63b502812_4
tensor([ 0.0086,  0.0180,  0.0118,  ..., -0.0075, -0.0058, -0.0235]),flickr_air_2813033949_e19fa08805_2
tensor([ 0.0021, -0.0103, -0.0298,  ...,  0.0178, -0.0046, -0.0263]),flickr_air_2854959952_3991a385ab_1
tensor([ 0.0281,  0.0069,  0.0008,  ..., -0.0381, -0.0096, -0.0130]),flickr_air_2892995070_39f3c9a56e_2
tensor([ 0.0459,  0.0346,  0.0079,  ..., -0.0334, -0.0054, -0.0035]),flickr_air_2901880865_3fd7b66a45_0
tensor([-0.0015,  0.0031, -0.0114,  ..., -0.0196, -0.0234, -0.0145]),flickr_air_2902269566_419d9f1d8e_0
tensor([-0.0021,  0.0266,  0.0194,  ..., -0.0194, -0.0145, -0.0309]),flickr_air_2945036454_280fa5b29f_0
tensor([ 0.0283,  0.0112,  0.0070,  ..., -0.0295, -0.0102, -0.0189]),flickr_air_2953015871_cae796b6e7_4
tensor([ 0.0580,  0.0400,  0.0037,  ..., -0.0229, -0.0083,  0.0002]),flickr_air_2971431335_e192613db4_2
tensor([ 0.0284,  0.0314,  0.0044,  ..., -0.0368,  0.0014, -0.0101]),flickr_air_2971431335_e192613db4_4_1
tensor([ 0.0038,  0.0470, -0.0123,  ..., -0.0173, -0.0201, -0.0142]),flickr_air_300314926_0b2e4b64f5_0
tensor([ 0.0008,  0.0359, -0.0360,  ..., -0.0268, -0.0283,  0.0125]),flickr_air_300314926_0b2e4b64f5_3
tensor([ 0.0306,  0.0067, -0.0071,  ..., -0.0092, -0.0210,  0.0035]),flickr_air_300314926_0b2e4b64f5_4
tensor([-0.0108,  0.0143, -0.0049,  ...,  0.0079, -0.0209,  0.0017]),flickr_air_3016606751_0e8be20abd_0
tensor([ 0.0114,  0.0288,  0.0066,  ..., -0.0079, -0.0094, -0.0147]),flickr_air_3016606751_0e8be20abd_3
tensor([-0.0020,  0.0048,  0.0157,  ..., -0.0315,  0.0012, -0.0087]),flickr_air_3024172109_a10198e1dd_2_1
tensor([ 0.0116,  0.0160,  0.0021,  ..., -0.0275, -0.0216,  0.0071]),flickr_air_3024172109_a10198e1dd_3
tensor([-0.0167, -0.0060,  0.0112,  ...,  0.0052,  0.0189, -0.0053]),flickr_ball_1107246521_d16a476380_1
tensor([ 0.0151, -0.0113,  0.0203,  ..., -0.0256,  0.0281,  0.0029]),flickr_ball_1402640441_81978e32a9_1
tensor([-0.0251, -0.0230,  0.0130,  ...,  0.0073, -0.0216, -0.0253]),flickr_ball_1402640441_81978e32a9_2
tensor([-0.0111,  0.0058,  0.0116,  ...,  0.0401, -0.0099, -0.0097]),flickr_ball_1402640441_81978e32a9_3
tensor([-0.0008,  0.0100,  0.0108,  ..., -0.0005, -0.0214,  0.0027]),flickr_ball_1402640441_81978e32a9_4
tensor([ 0.0125, -0.0116,  0.0225,  ..., -0.0404, -0.0208, -0.0106]),flickr_ball_1425069308_488e5fcf9d_0
tensor([-0.0304,  0.0124,  0.0259,  ..., -0.0171,  0.0002,  0.0128]),flickr_ball_1425069308_488e5fcf9d_1
tensor([-0.0112,  0.0113,  0.0147,  ..., -0.0150, -0.0029, -0.0011]),flickr_ball_1425069308_488e5fcf9d_2
tensor([-0.0130,  0.0041,  0.0337,  ...,  0.0310,  0.0097, -0.0056]),flickr_ball_1425069308_488e5fcf9d_3
tensor([-0.0117,  0.0064,  0.0248,  ..., -0.0248, -0.0052, -0.0156]),flickr_ball_1425069308_488e5fcf9d_4
tensor([-0.0251, -0.0056,  0.0204,  ..., -0.0054, -0.0096,  0.0018]),flickr_ball_1523984678_edd68464da_0
tensor([-0.0076, -0.0047,  0.0142,  ...,  0.0116, -0.0085, -0.0055]),flickr_ball_1523984678_edd68464da_1
tensor([-0.0158,  0.0046,  0.0250,  ..., -0.0210, -0.0125, -0.0016]),flickr_ball_1523984678_edd68464da_2
tensor([-0.0286,  0.0027,  0.0133,  ...,  0.0114,  0.0074, -0.0039]),flickr_ball_1523984678_edd68464da_3
tensor([-0.0096, -0.0128,  0.0129,  ..., -0.0042,  0.0290, -0.0013]),flickr_ball_1523984678_edd68464da_4
tensor([-0.0103, -0.0024,  0.0160,  ..., -0.0263, -0.0295, -0.0303]),flickr_ball_154871781_ae77696b77_0
tensor([-0.0133,  0.0123,  0.0229,  ..., -0.0008, -0.0120, -0.0038]),flickr_ball_154871781_ae77696b77_1
tensor([-0.0310, -0.0377,  0.0055,  ...,  0.0105,  0.0181, -0.0127]),flickr_ball_154871781_ae77696b77_3
